Data;Estagio;Precipitacao;ET0;KC;CAD_Max;FatorF_Estresse;CAD_Estresse;FatorF_Otimizado;CAD_Otimizado
44542;Crescimento;0.00;4.40;0.80;50.00;0.50;25.00;0.40;30.00
44543;Crescimento;0.60;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44544;Crescimento;11.60;2.40;0.80;50.00;0.50;25.00;0.40;30.00
44545;Crescimento;26.00;3.00;0.80;50.00;0.50;25.00;0.40;30.00
44546;Crescimento;0.80;1.40;0.80;50.00;0.50;25.00;0.40;30.00
44547;Crescimento;2.80;3.20;0.80;50.00;0.50;25.00;0.40;30.00
44548;Crescimento;7.20;1.90;0.80;50.00;0.50;25.00;0.40;30.00
44549;Crescimento;0.20;1.90;0.80;50.00;0.50;25.00;0.40;30.00
44550;Crescimento;0.00;4.30;0.80;50.00;0.50;25.00;0.40;30.00
44551;Crescimento;0.00;4.50;0.80;50.00;0.50;25.00;0.40;30.00
44552;Crescimento;7.60;4.50;0.80;50.00;0.50;25.00;0.40;30.00
44553;Crescimento;2.20;4.30;0.80;50.00;0.50;25.00;0.40;30.00
44554;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44555;Crescimento;0.00;4.50;0.80;50.00;0.50;25.00;0.40;30.00
44556;Crescimento;26.40;4.80;0.80;50.00;0.50;25.00;0.40;30.00
44557;Crescimento;1.80;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44558;Crescimento;20.20;4.90;0.80;50.00;0.50;25.00;0.40;30.00
44559;Crescimento;31.60;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44560;Crescimento;89.40;2.40;0.80;50.00;0.50;25.00;0.40;30.00
44562;Expansao;11.40;2.20;1.20;75.00;0.50;37.50;0.30;52.50
44563;Expansao;23.80;2.70;1.20;75.00;0.50;37.50;0.30;52.50
44564;Expansao;3.60;2.80;1.20;75.00;0.50;37.50;0.30;52.50
44565;Expansao;11.80;3.30;1.20;75.00;0.50;37.50;0.30;52.50
44566;Expansao;3.00;3.00;1.20;75.00;0.50;37.50;0.30;52.50
44567;Expansao;13.40;2.50;1.20;75.00;0.50;37.50;0.30;52.50
44568;Expansao;21.20;1.50;1.20;75.00;0.50;37.50;0.30;52.50
44569;Expansao;0.20;1.50;1.20;75.00;0.50;37.50;0.30;52.50
44570;Expansao;21.60;3.10;1.20;75.00;0.50;37.50;0.30;52.50
44571;Expansao;1.60;1.80;1.20;75.00;0.50;37.50;0.30;52.50
44572;Expansao;0.60;1.90;1.20;75.00;0.50;37.50;0.30;52.50
44573;Expansao;0.40;2.70;1.20;75.00;0.50;37.50;0.30;52.50
44574;Expansao;0.00;2.60;1.20;75.00;0.50;37.50;0.30;52.50
44575;Expansao;0.00;4.30;1.20;75.00;0.50;37.50;0.30;52.50
44576;Expansao;0.00;4.30;1.20;75.00;0.50;37.50;0.30;52.50
44577;Expansao;0.40;4.30;1.20;75.00;0.50;37.50;0.30;52.50
44578;Expansao;29.40;1.90;1.20;75.00;0.50;37.50;0.30;52.50
44579;Expansao;1.60;3.60;1.20;75.00;0.50;37.50;0.30;52.50
44580;Expansao;12.40;3.20;1.20;75.00;0.50;37.50;0.30;52.50
44581;Expansao;0.00;3.20;1.20;75.00;0.50;37.50;0.30;52.50
44582;Expansao;0.00;4.10;1.20;75.00;0.50;37.50;0.30;52.50
44583;Expansao;2.40;4.20;1.20;75.00;0.50;37.50;0.30;52.50
44584;Expansao;2.80;3.90;1.20;75.00;0.50;37.50;0.30;52.50
44585;Expansao;3.60;3.80;1.20;75.00;0.50;37.50;0.30;52.50
44586;Expansao;42.00;3.90;1.20;75.00;0.50;37.50;0.30;52.50
44587;Expansao;30.60;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44588;Expansao;1.80;3.40;1.20;75.00;0.50;37.50;0.30;52.50
44589;Expansao;8.20;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44590;Expansao;19.60;3.60;1.20;75.00;0.50;37.50;0.30;52.50
44591;Expansao;22.60;1.60;1.20;75.00;0.50;37.50;0.30;52.50
44592;Expansao;56.40;1.30;1.20;75.00;0.50;37.50;0.30;52.50
44593;Expansao;8.00;2.10;1.20;75.00;0.50;37.50;0.30;52.50
44594;Expansao;15.60;1.90;1.20;75.00;0.50;37.50;0.30;52.50
44595;Expansao;9.40;2.20;1.20;75.00;0.50;37.50;0.30;52.50
44596;Expansao;0.40;3.00;1.20;75.00;0.50;37.50;0.30;52.50
44597;Expansao;6.00;4.40;1.20;75.00;0.50;37.50;0.30;52.50
44598;Expansao;58.20;3.20;1.20;75.00;0.50;37.50;0.30;52.50
44599;Expansao;59.00;2.80;1.20;75.00;0.50;37.50;0.30;52.50
44600;Expansao;35.60;2.30;1.20;75.00;0.50;37.50;0.30;52.50
44601;Expansao;0.00;2.80;1.20;75.00;0.50;37.50;0.30;52.50
44602;Expansao;33.00;4.40;1.20;75.00;0.50;37.50;0.30;52.50
44603;Expansao;25.20;2.20;1.20;75.00;0.50;37.50;0.30;52.50
44604;Expansao;1.80;2.30;1.20;75.00;0.50;37.50;0.30;52.50
44605;Expansao;0.20;3.40;1.20;75.00;0.50;37.50;0.30;52.50
44606;Expansao;8.40;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44607;Expansao;0.40;2.50;1.20;75.00;0.50;37.50;0.30;52.50
44608;Expansao;10.40;3.80;1.20;75.00;0.50;37.50;0.30;52.50
44609;Expansao;0.20;4.50;1.20;75.00;0.50;37.50;0.30;52.50
44610;Expansao;4.40;4.10;1.20;75.00;0.50;37.50;0.30;52.50
44611;Expansao;0.00;2.10;1.20;75.00;0.50;37.50;0.30;52.50
44612;Expansao;0.40;1.60;1.20;75.00;0.50;37.50;0.30;52.50
44613;Expansao;1.00;3.10;1.20;75.00;0.50;37.50;0.30;52.50
44614;Expansao;0.40;2.90;1.20;75.00;0.50;37.50;0.30;52.50
44615;Expansao;16.20;3.20;1.20;75.00;0.50;37.50;0.30;52.50
44616;Expansao;0.20;3.90;1.20;75.00;0.50;37.50;0.30;52.50
44617;Expansao;1.60;4.00;1.20;75.00;0.50;37.50;0.30;52.50
44618;Expansao;1.00;4.10;1.20;75.00;0.50;37.50;0.30;52.50
44619;Expansao;0.00;4.10;1.20;75.00;0.50;37.50;0.30;52.50
44620;Expansao;0.00;4.70;1.20;75.00;0.50;37.50;0.30;52.50
44621;Expansao;0.20;4.70;1.20;75.00;0.50;37.50;0.30;52.50
44622;Expansao;0.00;4.30;1.20;75.00;0.50;37.50;0.30;52.50
44623;Expansao;0.20;4.70;1.20;75.00;0.50;37.50;0.30;52.50
44624;Expansao;0.00;4.70;1.20;75.00;0.50;37.50;0.30;52.50
44625;Expansao;3.60;5.10;1.20;75.00;0.50;37.50;0.30;52.50
44626;Expansao;0.00;3.70;1.20;75.00;0.50;37.50;0.30;52.50
44627;Expansao;0.00;4.40;1.20;75.00;0.50;37.50;0.30;52.50
44628;Expansao;0.00;4.60;1.20;75.00;0.50;37.50;0.30;52.50
44629;Expansao;0.00;3.80;1.20;75.00;0.50;37.50;0.30;52.50
44630;Expansao;0.00;3.80;1.20;75.00;0.50;37.50;0.30;52.50
44631;Expansao;10.80;4.00;1.20;75.00;0.50;37.50;0.30;52.50
44632;Expansao;38.00;3.90;1.20;75.00;0.50;37.50;0.30;52.50
44633;Expansao;23.20;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44634;Expansao;19.40;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44635;Expansao;41.20;2.20;1.20;75.00;0.50;37.50;0.30;52.50
44636;Expansao;3.40;2.50;1.20;75.00;0.50;37.50;0.30;52.50
44637;Expansao;21.60;3.80;1.20;75.00;0.50;37.50;0.30;52.50
44638;Expansao;0.00;3.70;1.20;75.00;0.50;37.50;0.30;52.50
44639;Expansao;0.80;3.40;1.20;75.00;0.50;37.50;0.30;52.50
44640;Expansao;0.00;2.50;1.20;75.00;0.50;37.50;0.30;52.50
44641;Expansao;0.20;3.60;1.20;75.00;0.50;37.50;0.30;52.50
44642;Expansao;0.00;2.20;1.20;75.00;0.50;37.50;0.30;52.50
44643;Expansao;0.00;4.30;1.20;75.00;0.50;37.50;0.30;52.50
44644;Expansao;0.00;4.10;1.20;75.00;0.50;37.50;0.30;52.50
44645;Expansao;0.00;4.10;1.20;75.00;0.50;37.50;0.30;52.50
44646;Expansao;30.00;3.60;1.20;75.00;0.50;37.50;0.30;52.50
44647;Expansao;0.40;1.70;1.20;75.00;0.50;37.50;0.30;52.50
44648;Expansao;18.80;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44649;Expansao;0.20;2.20;1.20;75.00;0.50;37.50;0.30;52.50
44650;Expansao;0.00;3.40;1.20;75.00;0.50;37.50;0.30;52.50
44651;Expansao;36.80;3.70;1.20;75.00;0.50;37.50;0.30;52.50
44927;Expansao;13.60;2.90;1.20;75.00;0.50;37.50;0.30;52.50
44928;Expansao;20.40;5.00;1.20;75.00;0.50;37.50;0.30;52.50
44929;Expansao;11.40;2.70;1.20;75.00;0.50;37.50;0.30;52.50
44930;Expansao;18.60;2.90;1.20;75.00;0.50;37.50;0.30;52.50
44931;Expansao;37.00;2.60;1.20;75.00;0.50;37.50;0.30;52.50
44932;Expansao;64.00;2.30;1.20;75.00;0.50;37.50;0.30;52.50
44933;Expansao;42.60;1.60;1.20;75.00;0.50;37.50;0.30;52.50
44934;Expansao;34.20;2.00;1.20;75.00;0.50;37.50;0.30;52.50
44935;Expansao;7.00;1.00;1.20;75.00;0.50;37.50;0.30;52.50
44936;Expansao;11.80;2.90;1.20;75.00;0.50;37.50;0.30;52.50
44937;Expansao;1.00;2.80;1.20;75.00;0.50;37.50;0.30;52.50
44938;Expansao;41.00;4.00;1.20;75.00;0.50;37.50;0.30;52.50
44939;Expansao;10.60;3.60;1.20;75.00;0.50;37.50;0.30;52.50
44940;Expansao;23.80;3.40;1.20;75.00;0.50;37.50;0.30;52.50
44941;Expansao;0.40;4.30;1.20;75.00;0.50;37.50;0.30;52.50
44942;Expansao;0.00;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44943;Expansao;0.00;2.90;1.20;75.00;0.50;37.50;0.30;52.50
44944;Expansao;0.00;5.60;1.20;75.00;0.50;37.50;0.30;52.50
44945;Expansao;32.80;4.40;1.20;75.00;0.50;37.50;0.30;52.50
44946;Expansao;12.80;3.60;1.20;75.00;0.50;37.50;0.30;52.50
44947;Expansao;23.60;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44948;Expansao;0.20;1.80;1.20;75.00;0.50;37.50;0.30;52.50
44949;Expansao;15.20;3.00;1.20;75.00;0.50;37.50;0.30;52.50
44950;Expansao;3.80;3.20;1.20;75.00;0.50;37.50;0.30;52.50
44951;Expansao;0.20;2.40;1.20;75.00;0.50;37.50;0.30;52.50
44952;Expansao;0.00;5.40;1.20;75.00;0.50;37.50;0.30;52.50
44953;Expansao;1.20;5.30;1.20;75.00;0.50;37.50;0.30;52.50
44954;Expansao;0.00;2.80;1.20;75.00;0.50;37.50;0.30;52.50
44955;Expansao;16.20;4.30;1.20;75.00;0.50;37.50;0.30;52.50
44956;Expansao;15.20;3.50;1.20;75.00;0.50;37.50;0.30;52.50
44957;Expansao;75.40;4.30;1.20;75.00;0.50;37.50;0.30;52.50
44958;Expansao;43.80;4.00;1.20;75.00;0.50;37.50;0.30;52.50
44959;Expansao;23.00;3.70;1.20;75.00;0.50;37.50;0.30;52.50
44960;Expansao;0.20;2.70;1.20;75.00;0.50;37.50;0.30;52.50
44961;Expansao;0.00;5.10;1.20;75.00;0.50;37.50;0.30;52.50
44962;Expansao;0.00;5.20;1.20;75.00;0.50;37.50;0.30;52.50
44963;Expansao;0.00;4.80;1.20;75.00;0.50;37.50;0.30;52.50
44964;Expansao;1.60;4.70;1.20;75.00;0.50;37.50;0.30;52.50
44965;Expansao;12.40;4.80;1.20;75.00;0.50;37.50;0.30;52.50
44966;Expansao;7.20;5.20;1.20;75.00;0.50;37.50;0.30;52.50
44967;Expansao;0.80;5.10;1.20;75.00;0.50;37.50;0.30;52.50
44968;Expansao;4.20;3.40;1.20;75.00;0.50;37.50;0.30;52.50
44969;Expansao;28.80;3.30;1.20;75.00;0.50;37.50;0.30;52.50
44970;Expansao;0.00;1.10;1.20;75.00;0.50;37.50;0.30;52.50
44971;Expansao;3.00;4.40;1.20;75.00;0.50;37.50;0.30;52.50
44972;Expansao;9.40;4.50;1.20;75.00;0.50;37.50;0.30;52.50
44973;Expansao;10.20;3.90;1.20;75.00;0.50;37.50;0.30;52.50
44974;Expansao;0.00;4.90;1.20;75.00;0.50;37.50;0.30;52.50
44975;Expansao;13.80;5.00;1.20;75.00;0.50;37.50;0.30;52.50
44976;Expansao;43.60;4.00;1.20;75.00;0.50;37.50;0.30;52.50
44977;Expansao;1.40;4.20;1.20;75.00;0.50;37.50;0.30;52.50
44978;Expansao;28.20;5.60;1.20;75.00;0.50;37.50;0.30;52.50
44979;Expansao;3.00;2.70;1.20;75.00;0.50;37.50;0.30;52.50
44980;Expansao;12.60;3.80;1.20;75.00;0.50;37.50;0.30;52.50
44981;Expansao;0.20;4.10;1.20;75.00;0.50;37.50;0.30;52.50
44982;Expansao;10.00;4.00;1.20;75.00;0.50;37.50;0.30;52.50
44983;Expansao;12.80;3.60;1.20;75.00;0.50;37.50;0.30;52.50
44984;Expansao;0.00;4.90;1.20;75.00;0.50;37.50;0.30;52.50
44985;Expansao;0.00;4.40;1.20;75.00;0.50;37.50;0.30;52.50
44986;Expansao;3.20;5.70;1.20;75.00;0.50;37.50;0.30;52.50
44987;Expansao;1.60;4.70;1.20;75.00;0.50;37.50;0.30;52.50
44988;Expansao;0.00;5.10;1.20;75.00;0.50;37.50;0.30;52.50
44989;Expansao;27.40;5.00;1.20;75.00;0.50;37.50;0.30;52.50
44990;Expansao;7.40;4.60;1.20;75.00;0.50;37.50;0.30;52.50
44991;Expansao;66.60;3.90;1.20;75.00;0.50;37.50;0.30;52.50
44992;Expansao;1.40;2.90;1.20;75.00;0.50;37.50;0.30;52.50
44993;Expansao;17.00;2.50;1.20;75.00;0.50;37.50;0.30;52.50
44994;Expansao;10.80;4.00;1.20;75.00;0.50;37.50;0.30;52.50
44995;Expansao;21.60;4.40;1.20;75.00;0.50;37.50;0.30;52.50
44996;Expansao;4.00;2.50;1.20;75.00;0.50;37.50;0.30;52.50
44997;Expansao;0.00;3.30;1.20;75.00;0.50;37.50;0.30;52.50
44998;Expansao;5.00;4.40;1.20;75.00;0.50;37.50;0.30;52.50
44999;Expansao;0.80;2.80;1.20;75.00;0.50;37.50;0.30;52.50
45000;Expansao;0.20;2.80;1.20;75.00;0.50;37.50;0.30;52.50
45001;Expansao;4.60;3.50;1.20;75.00;0.50;37.50;0.30;52.50
45002;Expansao;0.00;5.30;1.20;75.00;0.50;37.50;0.30;52.50
45003;Expansao;13.20;3.00;1.20;75.00;0.50;37.50;0.30;52.50
45004;Expansao;0.00;5.10;1.20;75.00;0.50;37.50;0.30;52.50
45005;Expansao;18.00;5.20;1.20;75.00;0.50;37.50;0.30;52.50
45006;Expansao;0.80;4.20;1.20;75.00;0.50;37.50;0.30;52.50
45007;Expansao;0.60;5.60;1.20;75.00;0.50;37.50;0.30;52.50
45008;Expansao;0.00;5.90;1.20;75.00;0.50;37.50;0.30;52.50
45009;Expansao;0.00;5.90;1.20;75.00;0.50;37.50;0.30;52.50
45010;Expansao;0.00;5.90;1.20;75.00;0.50;37.50;0.30;52.50
45011;Expansao;0.00;6.60;1.20;75.00;0.50;37.50;0.30;52.50
45012;Expansao;0.00;5.50;1.20;75.00;0.50;37.50;0.30;52.50
45013;Expansao;80.00;4.90;1.20;75.00;0.50;37.50;0.30;52.50
45014;Expansao;0.60;4.60;1.20;75.00;0.50;37.50;0.30;52.50
45015;Expansao;0.40;4.70;1.20;75.00;0.50;37.50;0.30;52.50
45016;Expansao;1.40;4.10;1.20;75.00;0.50;37.50;0.30;52.50
45292;Expansao;4.20;3.40;1.20;75.00;0.50;37.50;0.30;52.50
45293;Expansao;3.00;1.70;1.20;75.00;0.50;37.50;0.30;52.50
45294;Expansao;28.60;3.20;1.20;75.00;0.50;37.50;0.30;52.50
45295;Expansao;18.40;3.80;1.20;75.00;0.50;37.50;0.30;52.50
45296;Expansao;0.20;4.10;1.20;75.00;0.50;37.50;0.30;52.50
45297;Expansao;0.00;5.90;1.20;75.00;0.50;37.50;0.30;52.50
45298;Expansao;0.00;5.90;1.20;75.00;0.50;37.50;0.30;52.50
45299;Expansao;0.00;5.40;1.20;75.00;0.50;37.50;0.30;52.50
45300;Expansao;0.00;4.70;1.20;75.00;0.50;37.50;0.30;52.50
45301;Expansao;0.00;4.40;1.20;75.00;0.50;37.50;0.30;52.50
45302;Expansao;0.00;5.10;1.20;75.00;0.50;37.50;0.30;52.50
45303;Expansao;0.00;4.60;1.20;75.00;0.50;37.50;0.30;52.50
45304;Expansao;0.00;4.50;1.20;75.00;0.50;37.50;0.30;52.50
45305;Expansao;0.00;3.30;1.20;75.00;0.50;37.50;0.30;52.50
45306;Expansao;0.00;4.20;1.20;75.00;0.50;37.50;0.30;52.50
45307;Expansao;0.00;2.90;1.20;75.00;0.50;37.50;0.30;52.50
45308;Expansao;0.00;5.80;1.20;75.00;0.50;37.50;0.30;52.50
45309;Expansao;0.00;4.60;1.20;75.00;0.50;37.50;0.30;52.50
45310;Expansao;0.00;4.80;1.20;75.00;0.50;37.50;0.30;52.50
45311;Expansao;0.00;4.30;1.20;75.00;0.50;37.50;0.30;52.50
45312;Expansao;0.00;4.40;1.20;75.00;0.50;37.50;0.30;52.50
45313;Expansao;0.00;3.30;1.20;75.00;0.50;37.50;0.30;52.50
45314;Expansao;0.00;5.50;1.20;75.00;0.50;37.50;0.30;52.50
45315;Expansao;0.00;2.70;1.20;75.00;0.50;37.50;0.30;52.50
45316;Expansao;0.00;3.20;1.20;75.00;0.50;37.50;0.30;52.50
45317;Expansao;0.00;5.10;1.20;75.00;0.50;37.50;0.30;52.50
45318;Expansao;0.00;5.50;1.20;75.00;0.50;37.50;0.30;52.50
45319;Expansao;0.00;6.20;1.20;75.00;0.50;37.50;0.30;52.50
45320;Expansao;0.00;4.80;1.20;75.00;0.50;37.50;0.30;52.50
45321;Expansao;0.00;6.70;1.20;75.00;0.50;37.50;0.30;52.50
45322;Expansao;0.00;7.10;1.20;75.00;0.50;37.50;0.30;52.50
45323;Expansao;0.00;3.20;1.20;75.00;0.50;37.50;0.30;52.50
45324;Expansao;0.00;3.70;1.20;75.00;0.50;37.50;0.30;52.50
45325;Expansao;0.00;4.10;1.20;75.00;0.50;37.50;0.30;52.50
45326;Expansao;0.00;4.10;1.20;75.00;0.50;37.50;0.30;52.50
45327;Expansao;0.00;2.10;1.20;75.00;0.50;37.50;0.30;52.50
45328;Expansao;0.00;3.80;1.20;75.00;0.50;37.50;0.30;52.50
45329;Expansao;0.00;4.70;1.20;75.00;0.50;37.50;0.30;52.50
45330;Expansao;0.00;4.20;1.20;75.00;0.50;37.50;0.30;52.50
45331;Expansao;0.00;3.80;1.20;75.00;0.50;37.50;0.30;52.50
45332;Expansao;0.80;4.80;1.20;75.00;0.50;37.50;0.30;52.50
45333;Expansao;2.40;5.60;1.20;75.00;0.50;37.50;0.30;52.50
45334;Expansao;4.20;4.90;1.20;75.00;0.50;37.50;0.30;52.50
45335;Expansao;2.40;4.80;1.20;75.00;0.50;37.50;0.30;52.50
45336;Expansao;2.00;5.20;1.20;75.00;0.50;37.50;0.30;52.50
45337;Expansao;1.60;3.30;1.20;75.00;0.50;37.50;0.30;52.50
45338;Expansao;1.00;2.60;1.20;75.00;0.50;37.50;0.30;52.50
45339;Expansao;0.80;2.30;1.20;75.00;0.50;37.50;0.30;52.50
45340;Expansao;0.60;4.20;1.20;75.00;0.50;37.50;0.30;52.50
45341;Expansao;0.20;3.80;1.20;75.00;0.50;37.50;0.30;52.50
45342;Expansao;0.20;3.90;1.20;75.00;0.50;37.50;0.30;52.50
45343;Expansao;3.00;3.60;1.20;75.00;0.50;37.50;0.30;52.50
45344;Expansao;1.20;5.00;1.20;75.00;0.50;37.50;0.30;52.50
45345;Expansao;1.40;4.30;1.20;75.00;0.50;37.50;0.30;52.50
45346;Expansao;1.40;4.50;1.20;75.00;0.50;37.50;0.30;52.50
45347;Expansao;1.00;3.70;1.20;75.00;0.50;37.50;0.30;52.50
45348;Expansao;1.80;4.50;1.20;75.00;0.50;37.50;0.30;52.50
45349;Expansao;0.80;4.30;1.20;75.00;0.50;37.50;0.30;52.50
45350;Expansao;1.20;5.60;1.20;75.00;0.50;37.50;0.30;52.50
45351;Expansao;0.40;5.70;1.20;75.00;0.50;37.50;0.30;52.50
44561;Florada;15.20;1.40;1.10;75.00;0.50;37.50;0.25;56.25
44806;Florada;0.00;7.40;1.10;75.00;0.50;37.50;0.25;56.25
44811;Florada;0.00;6.20;1.10;75.00;0.50;37.50;0.25;56.25
44812;Florada;0.00;7.30;1.10;75.00;0.50;37.50;0.25;56.25
44813;Florada;0.00;15.20;1.10;75.00;0.50;37.50;0.25;56.25
44814;Florada;0.00;9.20;1.10;75.00;0.50;37.50;0.25;56.25
44815;Florada;0.00;9.90;1.10;75.00;0.50;37.50;0.25;56.25
44816;Florada;0.00;7.90;1.10;75.00;0.50;37.50;0.25;56.25
44817;Florada;0.00;9.60;1.10;75.00;0.50;37.50;0.25;56.25
44818;Florada;0.00;9.40;1.10;75.00;0.50;37.50;0.25;56.25
44819;Florada;11.40;5.30;1.10;75.00;0.50;37.50;0.25;56.25
44820;Florada;1.80;2.70;1.10;75.00;0.50;37.50;0.25;56.25
44821;Florada;0.00;1.80;1.10;75.00;0.50;37.50;0.25;56.25
44822;Florada;0.00;5.30;1.10;75.00;0.50;37.50;0.25;56.25
44823;Florada;0.00;6.30;1.10;75.00;0.50;37.50;0.25;56.25
44824;Florada;0.00;7.10;1.10;75.00;0.50;37.50;0.25;56.25
44825;Florada;0.00;3.40;1.10;75.00;0.50;37.50;0.25;56.25
44826;Florada;29.80;5.30;1.10;75.00;0.50;37.50;0.25;56.25
44827;Florada;2.00;1.70;1.10;75.00;0.50;37.50;0.25;56.25
44828;Florada;0.00;4.70;1.10;75.00;0.50;37.50;0.25;56.25
44829;Florada;0.00;7.20;1.10;75.00;0.50;37.50;0.25;56.25
44830;Florada;2.80;8.00;1.10;75.00;0.50;37.50;0.25;56.25
44831;Florada;20.00;4.60;1.10;75.00;0.50;37.50;0.25;56.25
44832;Florada;5.00;2.10;1.10;75.00;0.50;37.50;0.25;56.25
44833;Florada;5.20;1.50;1.10;75.00;0.50;37.50;0.25;56.25
44834;Florada;19.20;3.80;1.10;75.00;0.50;37.50;0.25;56.25
44835;Florada;1.60;4.20;1.10;75.00;0.50;37.50;0.25;56.25
44836;Florada;0.00;5.00;1.10;75.00;0.50;37.50;0.25;56.25
44837;Florada;3.00;6.70;1.10;75.00;0.50;37.50;0.25;56.25
44838;Florada;0.00;6.30;1.10;75.00;0.50;37.50;0.25;56.25
44839;Florada;0.00;4.70;1.10;75.00;0.50;37.50;0.25;56.25
44840;Florada;3.60;6.00;1.10;75.00;0.50;37.50;0.25;56.25
44841;Florada;89.80;5.10;1.10;75.00;0.50;37.50;0.25;56.25
44842;Florada;0.00;1.90;1.10;75.00;0.50;37.50;0.25;56.25
44843;Florada;20.00;4.60;1.10;75.00;0.50;37.50;0.25;56.25
44844;Florada;10.80;2.40;1.10;75.00;0.50;37.50;0.25;56.25
44845;Florada;0.00;2.40;1.10;75.00;0.50;37.50;0.25;56.25
44846;Florada;0.00;7.40;1.10;75.00;0.50;37.50;0.25;56.25
44847;Florada;0.00;6.40;1.10;75.00;0.50;37.50;0.25;56.25
44848;Florada;0.00;8.90;1.10;75.00;0.50;37.50;0.25;56.25
44849;Florada;0.00;8.10;1.10;75.00;0.50;37.50;0.25;56.25
44850;Florada;0.00;6.90;1.10;75.00;0.50;37.50;0.25;56.25
44851;Florada;0.00;7.20;1.10;75.00;0.50;37.50;0.25;56.25
44852;Florada;0.00;6.90;1.10;75.00;0.50;37.50;0.25;56.25
44853;Florada;0.00;6.70;1.10;75.00;0.50;37.50;0.25;56.25
44854;Florada;0.00;3.40;1.10;75.00;0.50;37.50;0.25;56.25
44855;Florada;7.00;6.00;1.10;75.00;0.50;37.50;0.25;56.25
44856;Florada;0.00;1.90;1.10;75.00;0.50;37.50;0.25;56.25
44857;Florada;23.60;5.40;1.10;75.00;0.50;37.50;0.25;56.25
44858;Florada;0.00;4.70;1.10;75.00;0.50;37.50;0.25;56.25
44859;Florada;0.00;5.70;1.10;75.00;0.50;37.50;0.25;56.25
44860;Florada;0.00;6.70;1.10;75.00;0.50;37.50;0.25;56.25
44861;Florada;0.00;8.40;1.10;75.00;0.50;37.50;0.25;56.25
44862;Florada;23.60;5.70;1.10;75.00;0.50;37.50;0.25;56.25
44863;Florada;0.00;2.80;1.10;75.00;0.50;37.50;0.25;56.25
44864;Florada;0.40;5.90;1.10;75.00;0.50;37.50;0.25;56.25
44865;Florada;7.40;4.40;1.10;75.00;0.50;37.50;0.25;56.25
44866;Florada;0.40;3.90;1.10;75.00;0.50;37.50;0.25;56.25
44867;Florada;0.60;3.50;1.10;75.00;0.50;37.50;0.25;56.25
44868;Florada;1.40;1.80;1.10;75.00;0.50;37.50;0.25;56.25
44869;Florada;0.00;2.70;1.10;75.00;0.50;37.50;0.25;56.25
44870;Florada;0.00;5.10;1.10;75.00;0.50;37.50;0.25;56.25
44871;Florada;1.20;6.20;1.10;75.00;0.50;37.50;0.25;56.25
44872;Florada;0.00;4.60;1.10;75.00;0.50;37.50;0.25;56.25
44873;Florada;19.00;5.40;1.10;75.00;0.50;37.50;0.25;56.25
44874;Florada;4.00;5.30;1.10;75.00;0.50;37.50;0.25;56.25
44875;Florada;0.00;3.00;1.10;75.00;0.50;37.50;0.25;56.25
44876;Florada;0.20;6.60;1.10;75.00;0.50;37.50;0.25;56.25
44877;Florada;1.00;5.20;1.10;75.00;0.50;37.50;0.25;56.25
44878;Florada;1.40;4.90;1.10;75.00;0.50;37.50;0.25;56.25
44879;Florada;1.60;5.50;1.10;75.00;0.50;37.50;0.25;56.25
44880;Florada;0.40;4.20;1.10;75.00;0.50;37.50;0.25;56.25
44881;Florada;0.00;3.60;1.10;75.00;0.50;37.50;0.25;56.25
44882;Florada;0.00;5.60;1.10;75.00;0.50;37.50;0.25;56.25
44883;Florada;15.00;7.20;1.10;75.00;0.50;37.50;0.25;56.25
44884;Florada;0.00;6.40;1.10;75.00;0.50;37.50;0.25;56.25
44885;Florada;15.60;4.50;1.10;75.00;0.50;37.50;0.25;56.25
44886;Florada;1.20;5.50;1.10;75.00;0.50;37.50;0.25;56.25
44887;Florada;13.60;6.80;1.10;75.00;0.50;37.50;0.25;56.25
44888;Florada;22.20;5.20;1.10;75.00;0.50;37.50;0.25;56.25
44889;Florada;32.60;3.30;1.10;75.00;0.50;37.50;0.25;56.25
44890;Florada;13.80;3.90;1.10;75.00;0.50;37.50;0.25;56.25
44891;Florada;0.00;3.90;1.10;75.00;0.50;37.50;0.25;56.25
44892;Florada;0.00;5.90;1.10;75.00;0.50;37.50;0.25;56.25
44893;Florada;33.80;5.40;1.10;75.00;0.50;37.50;0.25;56.25
44894;Florada;6.00;5.20;1.10;75.00;0.50;37.50;0.25;56.25
44895;Florada;0.00;4.00;1.10;75.00;0.50;37.50;0.25;56.25
44896;Florada;51.60;4.70;1.10;75.00;0.50;37.50;0.25;56.25
44897;Florada;0.00;4.10;1.10;75.00;0.50;37.50;0.25;56.25
44898;Florada;0.00;3.50;1.10;75.00;0.50;37.50;0.25;56.25
44899;Florada;1.20;3.30;1.10;75.00;0.50;37.50;0.25;56.25
