Data;Estagio;Precipitacao;ET0;KC;CAD_Max;FatorF_Estresse;CAD_Estresse;FatorF_Otimizado;CAD_Otimizado
44272;Crescimento;0.60;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44273;Crescimento;0.00;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44274;Crescimento;0.00;3.10;0.80;50.00;0.50;25.00;0.40;30.00
44275;Crescimento;0.00;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44276;Crescimento;0.00;4.20;0.80;50.00;0.50;25.00;0.40;30.00
44277;Crescimento;0.00;4.30;0.80;50.00;0.50;25.00;0.40;30.00
44278;Crescimento;0.00;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44279;Crescimento;0.00;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44280;Crescimento;0.00;4.30;0.80;50.00;0.50;25.00;0.40;30.00
44281;Crescimento;0.80;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44282;Crescimento;21.00;3.60;0.80;50.00;0.50;25.00;0.40;30.00
44283;Crescimento;2.00;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44284;Crescimento;9.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44285;Crescimento;0.00;3.60;0.80;50.00;0.50;25.00;0.40;30.00
44286;Crescimento;0.00;3.60;0.80;50.00;0.50;25.00;0.40;30.00
44287;Crescimento;0.00;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44288;Crescimento;0.00;3.20;0.80;50.00;0.50;25.00;0.40;30.00
44289;Crescimento;0.00;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44290;Crescimento;0.60;3.80;0.80;50.00;0.50;25.00;0.40;30.00
44291;Crescimento;0.00;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44292;Crescimento;8.20;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44293;Crescimento;0.00;1.10;0.80;50.00;0.50;25.00;0.40;30.00
44294;Crescimento;0.00;3.30;0.80;50.00;0.50;25.00;0.40;30.00
44295;Crescimento;0.00;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44296;Crescimento;0.00;3.90;0.80;50.00;0.50;25.00;0.40;30.00
44297;Crescimento;0.00;3.90;0.80;50.00;0.50;25.00;0.40;30.00
44298;Crescimento;0.00;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44299;Crescimento;0.00;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44300;Crescimento;0.00;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44301;Crescimento;0.00;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44302;Crescimento;2.00;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44303;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44304;Crescimento;9.20;1.90;0.80;50.00;0.50;25.00;0.40;30.00
44305;Crescimento;0.00;2.20;0.80;50.00;0.50;25.00;0.40;30.00
44306;Crescimento;0.20;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44307;Crescimento;0.00;3.30;0.80;50.00;0.50;25.00;0.40;30.00
44308;Crescimento;0.00;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44309;Crescimento;0.00;3.60;0.80;50.00;0.50;25.00;0.40;30.00
44310;Crescimento;0.00;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44311;Crescimento;0.00;3.60;0.80;50.00;0.50;25.00;0.40;30.00
44312;Crescimento;0.00;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44313;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44314;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44315;Crescimento;0.00;3.30;0.80;50.00;0.50;25.00;0.40;30.00
44316;Crescimento;0.00;3.00;0.80;50.00;0.50;25.00;0.40;30.00
44317;Crescimento;0.00;3.30;0.80;50.00;0.50;25.00;0.40;30.00
44318;Crescimento;0.00;2.00;0.80;50.00;0.50;25.00;0.40;30.00
44319;Crescimento;0.00;3.30;0.80;50.00;0.50;25.00;0.40;30.00
44320;Crescimento;0.00;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44321;Crescimento;0.00;3.30;0.80;50.00;0.50;25.00;0.40;30.00
44322;Crescimento;0.00;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44323;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44324;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44325;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44326;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44327;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44328;Crescimento;0.00;3.10;0.80;50.00;0.50;25.00;0.40;30.00
44329;Crescimento;0.00;2.50;0.80;50.00;0.50;25.00;0.40;30.00
44330;Crescimento;0.00;2.10;0.80;50.00;0.50;25.00;0.40;30.00
44331;Crescimento;3.80;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44332;Crescimento;0.00;1.50;0.80;50.00;0.50;25.00;0.40;30.00
44333;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44334;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44335;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44336;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44337;Crescimento;0.00;3.00;0.80;50.00;0.50;25.00;0.40;30.00
44338;Crescimento;13.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44339;Crescimento;0.00;2.10;0.80;50.00;0.50;25.00;0.40;30.00
44340;Crescimento;0.20;1.50;0.80;50.00;0.50;25.00;0.40;30.00
44341;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44342;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44343;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44344;Crescimento;1.20;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44345;Crescimento;0.60;2.40;0.80;50.00;0.50;25.00;0.40;30.00
44346;Crescimento;0.00;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44347;Crescimento;0.00;1.80;0.80;50.00;0.50;25.00;0.40;30.00
44348;Crescimento;0.00;1.30;0.80;50.00;0.50;25.00;0.40;30.00
44349;Crescimento;12.40;2.20;0.80;50.00;0.50;25.00;0.40;30.00
44350;Crescimento;0.00;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44351;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44352;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44353;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44354;Crescimento;0.00;2.10;0.80;50.00;0.50;25.00;0.40;30.00
44355;Crescimento;0.00;2.20;0.80;50.00;0.50;25.00;0.40;30.00
44356;Crescimento;0.00;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44357;Crescimento;4.00;1.40;0.80;50.00;0.50;25.00;0.40;30.00
44358;Crescimento;14.00;2.20;0.80;50.00;0.50;25.00;0.40;30.00
44359;Crescimento;0.00;0.80;0.80;50.00;0.50;25.00;0.40;30.00
44360;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44361;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44362;Crescimento;0.00;2.50;0.80;50.00;0.50;25.00;0.40;30.00
44363;Crescimento;0.00;2.40;0.80;50.00;0.50;25.00;0.40;30.00
44364;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44365;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44366;Crescimento;0.00;2.50;0.80;50.00;0.50;25.00;0.40;30.00
44367;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44368;Crescimento;0.00;2.50;0.80;50.00;0.50;25.00;0.40;30.00
44369;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44370;Crescimento;0.00;1.80;0.80;50.00;0.50;25.00;0.40;30.00
44371;Crescimento;0.00;2.40;0.80;50.00;0.50;25.00;0.40;30.00
44372;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44373;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44374;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44375;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44376;Crescimento;0.20;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44379;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44380;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44381;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44382;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44383;Crescimento;0.00;2.50;0.80;50.00;0.50;25.00;0.40;30.00
44384;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44385;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44386;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44387;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44388;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44389;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44390;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44391;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44392;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44393;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44394;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44395;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44398;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44399;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44400;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44401;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44402;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44403;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44404;Crescimento;0.00;3.00;0.80;50.00;0.50;25.00;0.40;30.00
44405;Crescimento;0.40;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44409;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44410;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44411;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44412;Crescimento;0.00;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44413;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44414;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44415;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
